"Date","Open","High","Low","Close","Shares.Traded"
2000-01-31,1605.715,1633.505,1583.7525,1607.8025,42520804.8
2000-02-29,1683.87142857143,1720.12857142857,1664.95,1686.57857142857,32878031.952381
2000-03-31,1612.71666666667,1645.66428571429,1575.78333333333,1605.65714285714,31224108.8571429
2000-04-28,1475.975,1506.43333333333,1429.71111111111,1469.03055555556,41760592.3888889
2000-05-31,1314.23181818182,1337.51363636364,1285.46818181818,1312.65227272727,29202416.2727273
2000-06-30,1448.48863636364,1469.92045454545,1433.98863636364,1451.74318181818,37550461.1363636
2000-07-31,1452.12142857143,1466.78333333333,1430.58333333333,1445.2619047619,42585642.5714286
2000-08-31,1348.325,1362.16136363636,1339.21818181818,1350.94318181818,42820171.2272727
2000-09-29,1377.4575,1392.4725,1357.5475,1371.27,49027933.2
2000-10-31,1205.99761904762,1218.59523809524,1186.97857142857,1201.59761904762,49523176.1428571
2000-11-30,1236.46590909091,1251.18863636364,1227.00227272727,1240.58636363636,65698944.8181818
2000-12-29,1291.8475,1305.685,1279.4675,1291.425,79601866.4
2001-01-31,1312.58636363636,1329.475,1303.37954545455,1316.95681818182,90376809.5909091
2001-02-28,1372.99,1386.9525,1357.7425,1371.9075,105688278.8
2001-03-30,1223.78095238095,1243.22380952381,1192.37380952381,1214.46904761905,56380416.9047619
2001-04-30,1117.47894736842,1133.24736842105,1094.43947368421,1116.41315789474,44912834.7894737
2001-05-31,1157.63181818182,1168.48636363636,1149.40909090909,1159.43863636364,44846007.3636364
2001-06-29,1110.03333333333,1117.85,1097.85238095238,1107.15476190476,40171039.9047619
2001-07-31,1078.93409090909,1086.90227272727,1070.29545454545,1077.97727272727,26221335.1818182
2001-08-31,1069.3619047619,1075.85714285714,1064.27142857143,1069.00952380952,35999051.3809524
2001-09-28,956.5175,967.1975,937.8925,949.43,47339268.75
2001-10-31,951.630952380952,961.885714285714,944.85,953.921428571429,46774596.2857143
2001-11-29,1027.325,1041.4275,1021.855,1031.6175,53789425.8
2001-12-31,1076.35526315789,1087.63947368421,1065.43684210526,1075.87368421053,55558527.2631579
2002-01-31,1086.56739130435,1097.61086956522,1078.86739130435,1087.19782608696,61930814.4347826
2002-02-28,1135.3625,1149.1075,1127.09,1138.1675,64278693.4
2002-03-28,1160.30526315789,1171.10789473684,1151.01315789474,1159.33421052632,48935778.1052632
2002-04-30,1122.52272727273,1130.77045454545,1114.20227272727,1120.73863636364,39731422.0454545
2002-05-31,1082.43181818182,1090.37272727273,1070.82045454545,1079.8,45870042.4090909
2002-06-28,1064.72,1074.525,1057.48,1065.8975,41499925.3
2002-07-31,1038.97608695652,1044.74130434783,1028.78695652174,1034.69782608696,42984219
2002-08-30,975.147619047619,982.923809523809,969.630952380952,977.6,45018401.0952381
2002-09-30,989.1475,994.0325,981.7375,987.1175,42936225.05
2002-10-31,955.630952380952,962.37619047619,949.690476190476,955.116666666667,49631240.1428571
2002-11-29,987.365789473684,996.686842105263,984.021052631579,992.260526315789,62099160.2631579
2002-12-31,1072.05,1082.12619047619,1066.21428571429,1074.04523809524,63824172.8571429
2003-01-31,1076.37173913043,1082.11086956522,1067.74130434783,1073.48043478261,55270519
2003-02-28,1054.78157894737,1062.58421052632,1049.18421052632,1055.83684210526,51429549.9473684
2003-03-31,1020.59,1025.885,1009.485,1016.375,44705682.1
2003-04-30,967.2625,974.5225,957.6975,965.0775,60426527.2
2003-05-30,959.452380952381,968.488095238095,955.921428571429,963.197619047619,61110096.8095238
2003-06-30,1062.73333333333,1073.88333333333,1057.81428571429,1068.5880952381,70191821.7142857
2003-07-31,1147.97826086957,1159.71739130435,1139.17173913043,1150.01086956522,76818353.4782609
2003-08-29,1253.2975,1273.225,1244.3275,1261.125,154671214.05
2003-09-30,1366.28181818182,1385.59545454545,1350.29318181818,1369.03181818182,146301836.136364
2003-10-31,1502.13260869565,1521.2,1484.8652173913,1506.10434782609,151030081.391304
2003-11-28,1577.895,1595.2575,1563.96,1580.0225,115650646.5
2003-12-31,1728.57272727273,1750.55454545455,1718.45,1740.05909090909,106574489.772727
2004-01-30,1910.52142857143,1939.02857142857,1879.09047619048,1906.00238095238,129417212.095238
2004-02-27,1850.15263157895,1871.99210526316,1826.77631578947,1848.66842105263,123205682.526316
2004-03-31,1780.59772727273,1799.1,1759.67272727273,1779.62727272727,110908180.727273
2004-04-30,1851.3925,1868.195,1831.1725,1848.445,102102573.3
2004-05-31,1654.97380952381,1678.81666666667,1605.12142857143,1640.2,113719686.619048
2004-06-30,1505.17954545455,1524.37727272727,1490.00454545455,1506.11590909091,103751010.136364
2004-07-30,1561.65454545455,1582.42272727273,1547.58409090909,1568.08409090909,133370145.272727
2004-08-31,1616.23863636364,1626.85909090909,1603.17045454545,1615.3,110672910.863636
2004-09-30,1686.71136363636,1699.44318181818,1678.57954545455,1691.95681818182,103034089.636364
2004-10-29,1793.6025,1809.3375,1781.9575,1794.98,86682067.6
2004-11-30,1865.735,1881.33,1858.8,1873.935,77256159.3
2004-12-31,2016.42173913043,2033.43913043478,2007.05652173913,2021.94347826087,84790114
2005-01-31,1979.87894736842,1999.93157894737,1954.94736842105,1977.82894736842,91048072.1052632
2005-02-28,2066.455,2082.1175,2053.165,2067.3875,74147964.65
2005-03-31,2099.725,2115.62954545455,2081.21818181818,2096.22954545455,73267416.5454545
2005-04-29,1993.8325,2007.565,1972.815,1987.095,57221048.05
2005-05-31,1993.91818181818,2011.62045454545,1984.85,2002.27727272727,52151473.0454545
2005-06-30,2128.50217391304,2145.5652173913,2118.50434782609,2134.28695652174,57511926.9130435
2005-07-29,2232.3375,2250.8475,2218.315,2236.7025,64315505.15
2005-08-31,2355.76590909091,2376.57272727273,2338.23181818182,2357.56136363636,71120449.4090909
2005-09-30,2501.49761904762,2526.96666666667,2484.2,2511.70476190476,70638225.7619048
2005-10-31,2498.94,2521.1125,2463.9575,2486.7775,87218427.35
2005-11-30,2559.45,2589.6075,2547.485,2574.66,70307110.45
2005-12-30,2764.47272727273,2792.88409090909,2745.34545454545,2772.61136363636,77782573.9090909
2006-01-31,2883.54,2908.9175,2867.4925,2892.6825,79096286.25
2006-02-28,3014.78421052632,3037.25526315789,2997.32631578947,3019.32105263158,75776232.4210526
2006-03-31,3221.69545454545,3252.97727272727,3206.72272727273,3236.36818181818,106419950.590909
2006-04-29,3486.97777777778,3527.80833333333,3442.72222222222,3494.06111111111,103563982.722222
2006-05-31,3459.85681818182,3509.19772727273,3374.23863636364,3437.41136363636,108949477.818182
2006-06-30,2912.26739130435,2976.21304347826,2849.87173913043,2914.91304347826,93625144.3478261
2006-07-31,3092.93095238095,3131.38333333333,3048.66428571429,3092.10952380952,75944135.952381
2006-08-31,3291.12727272727,3324.22045454545,3274.52954545455,3305.58181818182,62054780.3181818
2006-09-29,3483.82380952381,3512.88095238095,3461.78095238095,3492.13095238095,68221461.6666667
2006-10-31,3642.585,3674.195,3621.53,3649.4275,70932988.45
2006-11-30,3860.75909090909,3886.36136363636,3841.45227272727,3868.61136363636,70626631.6363636
2006-12-29,3910.395,3946.6525,3866.3875,3910.18,67982705.5
2007-01-31,4033.4225,4066.8175,4005.7475,4037.065,77018120.4
2007-02-28,4104.18157894737,4132.93684210526,4044.96842105263,4083.73684210526,81892697.9473684
2007-03-30,3727.5,3780.59047619048,3682.4119047619,3731.12857142857,86776518.1904762
2007-04-30,3933.81,3977.98,3900.0075,3947.2775,83147854.15
2007-05-31,4175.93095238095,4211.83333333333,4145.86428571429,4184.39047619048,82525611.3809524
2007-06-29,4223.87619047619,4255.09523809524,4194.27142857143,4222.17380952381,75636406.952381
